wavelength_nm	intensity
721.892000	3512
721.735000	3541
721.577000	3540
721.420000	3517
721.262000	3524
721.105000	3492
720.948000	3472
720.790000	3484
720.633000	3525
720.475000	3547
720.318000	3543
720.160000	3497
720.003000	3494
719.845000	3501
719.688000	3511
719.530000	3540
719.373000	3536
719.215000	3515
719.058000	3512
718.900000	3511
718.743000	3503
718.586000	3547
718.428000	3547
718.271000	3500
718.113000	3519
717.956000	3537
717.798000	3535
717.641000	3544
717.483000	3552
717.326000	3507
717.168000	3497
717.011000	3494
716.853000	3489
716.696000	3517
716.538000	3505
716.381000	3507
716.223000	3514
716.066000	3510
715.909000	3484
715.751000	3516
715.594000	3527
715.436000	3510
715.279000	3504
715.121000	3442
714.964000	3472
714.806000	3494
714.649000	3507
714.491000	3515
714.334000	3472
714.176000	3504
714.019000	3515
713.861000	3518
713.704000	3518
713.547000	3504
713.389000	3499
713.232000	3478
713.074000	3523
712.917000	3564
712.759000	3510
712.602000	3495
712.444000	3537
712.287000	3523
712.129000	3490
711.972000	3510
711.814000	3524
711.657000	3552
711.499000	3541
711.342000	3526
711.185000	3521
711.027000	3505
710.870000	3526
710.712000	3550
710.555000	3495
710.397000	3467
710.240000	3501
710.082000	3518
709.925000	3530
709.767000	3509
709.610000	3554
709.452000	3530
709.295000	3496
709.137000	3516
708.980000	3504
708.822000	3521
708.665000	3512
708.508000	3552
708.350000	3523
708.193000	3497
708.035000	3503
707.878000	3502
707.720000	3547
707.563000	3546
707.405000	3508
707.248000	3506
707.090000	3520
706.933000	3527
706.775000	3503
706.618000	3521
706.460000	3500
706.303000	3489
706.146000	3488
705.988000	3534
705.831000	3541
705.673000	3511
705.516000	3489
705.358000	3511
705.201000	3524
705.043000	3510
704.886000	3504
704.728000	3516
704.571000	3509
704.413000	3491
704.256000	3475
704.098000	3487
703.941000	3539
703.784000	3560
703.626000	3524
703.469000	3504
703.311000	3562
703.154000	3577
702.996000	3571
702.839000	3563
702.681000	3544
702.524000	3507
702.366000	3512
702.209000	3527
702.051000	3500
701.894000	3502
701.736000	3511
701.579000	3540
701.422000	3566
701.264000	3513
701.107000	3510
700.949000	3532
700.792000	3536
700.634000	3543
700.477000	3564
700.319000	3516
700.162000	3511
700.004000	3534
699.847000	3542
699.689000	3527
699.532000	3520
699.374000	3516
699.217000	3532
699.059000	3552
698.902000	3530
698.745000	3513
698.587000	3531
698.430000	3538
698.272000	3498
698.115000	3526
697.957000	3546
697.800000	3534
697.642000	3496
697.485000	3476
697.327000	3523
697.170000	3551
697.012000	3534
696.855000	3553
696.697000	3504
696.540000	3496
696.388000	3508
696.235000	3534
696.083000	3525
695.931000	3528
695.778000	3531
695.626000	3535
695.474000	3540
695.321000	3525
695.169000	3499
695.017000	3491
694.864000	3507
694.712000	3532
694.560000	3547
694.407000	3546
694.255000	3556
694.103000	3564
693.950000	3587
693.798000	3538
693.646000	3509
693.493000	3513
693.341000	3543
693.189000	3533
693.036000	3515
692.884000	3511
692.732000	3544
692.579000	3549
692.427000	3553
692.275000	3558
692.122000	3491
691.970000	3541
691.818000	3554
691.665000	3559
691.513000	3573
691.361000	3567
691.208000	3546
691.056000	3544
690.904000	3542
690.751000	3499
690.599000	3479
690.447000	3471
690.294000	3517
690.142000	3530
689.990000	3561
689.837000	3594
689.685000	3590
689.533000	3523
689.380000	3500
689.228000	3491
689.076000	3498
688.923000	3504
688.771000	3555
688.619000	3545
688.466000	3532
688.314000	3548
688.162000	3574
688.009000	3554
687.857000	3563
687.705000	3532
687.552000	3518
687.400000	3519
687.248000	3553
687.095000	3560
686.943000	3528
686.791000	3512
686.638000	3517
686.486000	3538
686.334000	3537
686.181000	3491
686.029000	3514
685.877000	3529
685.724000	3553
685.572000	3572
685.420000	3552
685.267000	3546
685.115000	3548
684.963000	3575
684.811000	3570
684.658000	3535
684.506000	3525
684.354000	3532
684.201000	3548
684.049000	3532
683.897000	3538
683.744000	3590
683.592000	3562
683.440000	3523
683.287000	3513
683.135000	3552
682.983000	3560
682.830000	3531
682.678000	3534
682.526000	3542
682.373000	3537
682.221000	3527
682.069000	3538
681.916000	3561
681.764000	3519
681.612000	3505
681.459000	3514
681.307000	3520
681.155000	3537
681.002000	3535
680.850000	3521
680.698000	3513
680.545000	3533
680.393000	3575
680.241000	3539
680.088000	3538
679.936000	3579
679.784000	3548
679.631000	3520
679.479000	3542
679.327000	3545
679.174000	3564
679.022000	3541
678.870000	3515
678.717000	3497
678.565000	3500
678.413000	3536
678.260000	3562
678.108000	3518
677.956000	3539
677.803000	3577
677.651000	3600
677.499000	3606
677.346000	3552
677.194000	3538
677.042000	3534
676.889000	3539
676.737000	3538
676.585000	3537
676.432000	3569
676.280000	3574
676.128000	3568
675.975000	3580
675.823000	3539
675.671000	3529
675.518000	3567
675.366000	3567
675.214000	3549
675.061000	3565
674.909000	3557
674.757000	3590
674.604000	3619
674.452000	3597
674.300000	3567
674.147000	3571
673.995000	3587
673.843000	3565
673.690000	3538
673.538000	3532
673.386000	3579
673.233000	3589
673.081000	3580
672.929000	3578
672.776000	3569
672.624000	3582
672.472000	3575
672.319000	3611
672.167000	3634
672.015000	3619
671.862000	3555
671.710000	3563
671.558000	3598
671.405000	3575
671.253000	3590
671.101000	3571
670.948000	3538
670.796000	3553
670.644000	3606
670.491000	3593
670.339000	3598
670.187000	3615
670.034000	3615
669.882000	3624
669.730000	3566
669.577000	3596
669.425000	3590
669.273000	3602
669.120000	3642
668.968000	3635
668.816000	3622
668.663000	3591
668.511000	3572
668.359000	3588
668.206000	3603
668.054000	3621
667.902000	3632
667.749000	3603
667.597000	3624
667.445000	3608
667.292000	3565
667.140000	3611
666.988000	3596
666.835000	3569
666.683000	3572
666.531000	3597
666.378000	3594
666.226000	3589
666.074000	3619
665.921000	3603
665.769000	3602
665.617000	3580
665.464000	3567
665.312000	3573
665.160000	3557
665.007000	3581
664.855000	3590
664.703000	3591
664.550000	3592
664.398000	3571
664.246000	3594
664.093000	3633
663.941000	3633
663.789000	3566
663.636000	3554
663.484000	3561
663.332000	3557
663.179000	3611
663.027000	3635
662.875000	3571
662.722000	3542
662.570000	3559
662.418000	3563
662.265000	3548
662.113000	3555
661.961000	3575
661.808000	3567
661.656000	3570
661.504000	3600
661.351000	3606
661.199000	3584
661.047000	3575
660.894000	3562
660.742000	3525
660.590000	3508
660.438000	3538
660.285000	3567
660.133000	3580
659.981000	3591
659.828000	3613
659.676000	3625
659.524000	3621
659.371000	3601
659.219000	3625
659.067000	3614
658.914000	3580
658.762000	3587
658.610000	3608
658.457000	3578
658.305000	3583
658.153000	3630
658.000000	3592
657.848000	3549
657.696000	3568
657.543000	3587
657.391000	3562
657.239000	3571
657.086000	3594
656.934000	3608
656.782000	3574
656.629000	3555
656.477000	3600
656.325000	3584
656.172000	3595
656.020000	3590
655.868000	3567
655.715000	3595
655.563000	3595
655.411000	3581
655.258000	3573
655.106000	3583
654.954000	3594
654.801000	3567
654.649000	3623
654.497000	3640
654.344000	3633
654.192000	3600
654.040000	3619
653.887000	3610
653.735000	3619
653.583000	3601
653.430000	3589
653.278000	3588
653.126000	3565
652.973000	3575
652.821000	3604
652.669000	3606
652.516000	3603
652.364000	3627
652.212000	3616
652.059000	3607
651.907000	3609
651.755000	3642
651.602000	3633
651.450000	3587
651.298000	3610
651.145000	3635
650.993000	3624
650.841000	3625
650.688000	3607
650.536000	3587
650.384000	3551
650.231000	3544
650.079000	3563
649.927000	3615
649.774000	3613
649.622000	3626
649.470000	3633
649.317000	3626
649.165000	3627
649.013000	3609
648.860000	3543
648.708000	3581
648.556000	3605
648.403000	3602
648.251000	3630
648.099000	3638
647.946000	3636
647.794000	3655
647.642000	3613
647.489000	3585
647.337000	3591
647.185000	3605
647.032000	3597
646.880000	3598
646.728000	3596
646.575000	3598
646.423000	3616
646.271000	3640
646.118000	3648
645.966000	3665
645.814000	3649
645.661000	3623
645.509000	3640
645.357000	3614
645.204000	3626
645.052000	3627
644.900000	3638
644.747000	3639
644.595000	3642
644.443000	3593
644.290000	3604
644.138000	3601
643.986000	3615
643.833000	3638
643.681000	3640
643.529000	3614
643.376000	3612
643.224000	3620
643.072000	3650
642.919000	3622
642.767000	3631
642.615000	3672
642.462000	3662
642.310000	3647
642.158000	3656
642.005000	3649
641.853000	3626
641.701000	3607
641.548000	3621
641.396000	3584
641.244000	3638
641.091000	3639
640.939000	3609
640.787000	3654
640.634000	3653
640.482000	3663
640.330000	3652
640.177000	3641
640.025000	3632
639.873000	3610
639.720000	3646
639.568000	3625
639.416000	3628
639.263000	3624
639.111000	3653
638.959000	3671
