Wavelength,Intensity
0.000000,4482
0.000000,4469
0.000000,4400
0.000000,4403
0.000000,4417
0.000000,4400
0.000000,4420
0.000000,4406
0.000000,4401
0.000000,4416
0.000000,4446
0.000000,4443
0.000000,4435
0.000000,4412
0.000000,4413
0.000000,4404
0.000000,4404
0.000000,4881
0.000000,5077
0.000000,5065
0.000000,5222
0.000000,5213
0.000000,5081
0.000000,5414
0.000000,5606
0.000000,5200
0.000000,4994
0.000000,5224
0.000000,5223
0.000000,5124
0.000000,5397
0.000000,5545
0.000000,5414
0.000000,5303
0.000000,5290
0.000000,5406
0.000000,5496
0.000000,5427
0.000000,5510
0.000000,5442
0.000000,5482
0.000000,5682
0.000000,5576
0.000000,5407
0.000000,5370
0.000000,5369
719.797000,5366
719.640000,5686
719.483000,5453
719.325000,5352
719.168000,5365
719.011000,5436
718.854000,5543
718.697000,5476
718.540000,5348
718.383000,5346
718.225000,5280
718.068000,5420
717.911000,5428
717.754000,5547
717.597000,5606
717.440000,5574
717.283000,5347
717.125000,5483
716.968000,5578
716.811000,5478
716.654000,5500
716.497000,5550
716.340000,5347
716.183000,5307
716.025000,5425
715.868000,5592
715.711000,5409
715.554000,5312
715.397000,5584
715.240000,5395
715.083000,5231
714.926000,5431
714.768000,5290
714.611000,5401
714.454000,5360
714.297000,5326
714.140000,5378
713.983000,5425
713.826000,5407
713.668000,5273
713.511000,5315
713.354000,5312
713.197000,5290
713.040000,5315
712.883000,5288
712.726000,5352
712.568000,5463
712.411000,5489
712.254000,5327
712.097000,5140
711.940000,5411
711.783000,5536
711.626000,5501
711.468000,5568
711.311000,5546
711.154000,5532
710.997000,5406
710.840000,5430
710.683000,5479
710.526000,5540
710.368000,5460
710.211000,5473
710.054000,5422
709.897000,5367
709.740000,5581
709.583000,5430
709.426000,5234
709.268000,5278
709.111000,5288
708.954000,5307
708.797000,5273
708.640000,5333
708.483000,5436
708.326000,5419
708.168000,5596
708.011000,5381
707.854000,5168
707.697000,5264
707.540000,5346
707.383000,5468
707.226000,5500
707.068000,5520
706.911000,5504
706.754000,5341
706.597000,5218
706.440000,5387
706.283000,5565
706.126000,5468
705.968000,5185
705.811000,5309
705.654000,5283
705.497000,5296
705.340000,5330
705.183000,5292
705.026000,5225
704.868000,5262
704.711000,5311
704.554000,5386
704.397000,5550
704.240000,5359
704.083000,5387
703.926000,5307
703.768000,5390
703.611000,5632
703.454000,5411
703.297000,5429
703.140000,5420
702.983000,5498
702.826000,5370
702.668000,5417
702.511000,5525
702.354000,5303
702.197000,5257
702.040000,5411
701.883000,5589
701.726000,5369
701.569000,5237
701.411000,5320
701.254000,5354
701.097000,5318
700.940000,5290
700.783000,5257
700.626000,5399
700.469000,5419
700.311000,5138
700.154000,5464
699.997000,5483
699.840000,5310
699.683000,5309
699.526000,5369
699.369000,5526
699.211000,5595
699.054000,5355
698.897000,5321
698.740000,5362
698.583000,5366
698.426000,5287
698.269000,5230
698.111000,5111
697.954000,5248
697.797000,5267
697.640000,5457
697.483000,5474
697.326000,5310
697.169000,5305
697.011000,5438
696.854000,5458
696.697000,5279
696.540000,5329
696.388000,5305
696.236000,5317
696.085000,5241
695.933000,5331
695.781000,5386
695.629000,5453
695.478000,5331
695.326000,5116
695.174000,5162
695.022000,5401
694.871000,5269
694.719000,5416
694.567000,5709
694.415000,5518
694.264000,5403
694.112000,5218
693.960000,5229
693.808000,5331
693.657000,5340
693.505000,5273
693.353000,5216
693.201000,5211
693.050000,5296
692.898000,5661
692.746000,5504
692.594000,5324
692.443000,5553
692.291000,5475
692.139000,5627
691.987000,5717
691.836000,5581
691.684000,5537
691.532000,5468
691.380000,5407
691.229000,5260
691.077000,5265
690.925000,5224
690.773000,5199
690.622000,5301
690.470000,5208
690.318000,5322
690.166000,5492
690.015000,5341
689.863000,5326
689.711000,5412
689.559000,5539
689.408000,5399
689.256000,5491
689.104000,5797
688.952000,5523
688.801000,5432
688.649000,5565
688.497000,5530
688.345000,5307
688.194000,5342
688.042000,5454
687.890000,5227
687.738000,5219
687.587000,5381
687.435000,5428
687.283000,5485
687.131000,5227
686.980000,5360
686.828000,5216
686.676000,5236
686.524000,5484
686.373000,5611
686.221000,5424
686.069000,5329
685.917000,5563
685.766000,5331
685.614000,5110
685.462000,5165
685.310000,5297
685.159000,5331
685.007000,5398
684.855000,5453
684.703000,5309
684.552000,5327
684.400000,5553
684.248000,5535
684.096000,5247
683.945000,5309
683.793000,5378
683.641000,5226
683.489000,5464
683.338000,5463
683.186000,5324
683.034000,5173
682.882000,5229
682.731000,5331
682.579000,5343
682.427000,5148
682.275000,5274
682.124000,5486
681.972000,5456
681.820000,5370
681.668000,5399
681.517000,5740
681.365000,5552
681.213000,5548
681.061000,5605
680.910000,5201
680.758000,5208
680.606000,5421
680.454000,5330
680.303000,5396
680.151000,5516
679.999000,5323
679.847000,5149
679.696000,5291
679.544000,5339
679.392000,5398
679.240000,5276
679.089000,5243
678.937000,5296
678.785000,5320
678.633000,5259
678.482000,5139
678.330000,5508
678.178000,5705
678.026000,5305
677.875000,5293
677.723000,5422
677.571000,5324
677.419000,5441
677.268000,5562
677.116000,5516
676.964000,5351
676.812000,5449
676.661000,5356
676.509000,5631
676.357000,5425
676.205000,5064
676.054000,5411
675.902000,5486
675.750000,5411
675.598000,5468
675.447000,5228
675.295000,5176
675.143000,5490
674.991000,5681
674.840000,5399
674.688000,5284
674.536000,5201
674.384000,5168
674.233000,5378
674.081000,5351
673.929000,5325
673.777000,5259
673.626000,5285
673.474000,5316
673.322000,5492
673.170000,5370
673.019000,5191
672.867000,5325
672.715000,5572
672.563000,5541
672.412000,5388
672.260000,5432
672.108000,5396
671.956000,5196
671.805000,5464
671.653000,5522
671.501000,5220
671.349000,5304
671.198000,5244
671.046000,5228
670.894000,5401
670.742000,5215
670.591000,5198
670.439000,5241
670.287000,5346
670.135000,5358
669.984000,5295
669.832000,5402
669.680000,5231
669.528000,5168
669.377000,5234
669.225000,5556
669.073000,5507
668.921000,5253
668.770000,5256
668.618000,5490
668.466000,5318
668.314000,5190
668.163000,5305
668.011000,5300
667.859000,5399
667.707000,5364
667.556000,5196
667.404000,5198
667.252000,5297
667.100000,5290
